MGI.symbol,t,B
Skiv2l,-1.13241463778347,0.15148862
Shd,0.460494446750136,0.160928267
Sh3glb2,0.412451106687386,0.086329676
Sh3glb1,1.54504420032977,0.118992962
Sirt5,0.451838872677023,0.193490142
Shank2,0.689615645882542,0.176983742
Ski,-0.229649274526097,0.072807516
Shc2,2.08086131481507,0.72040813
Sik1,0.162657319272911,0.201221297
Sgpl1,0.152403578435665,0.126917036
Sik2,-1.69449655289433,0.371100856
Sgms1,0.0638448409577527,0.084760401
Sgce,0.772105949924697,0.128342481
Sgpp2,0.451087250075251,0.132683219
Sh2b2,2.18652888985657,1.171821953
Sh2d3c,-0.549578361928457,0.207479287
Shtn1,-0.534104835446142,0.103755632
Shprh,-0.0420813596519135,0.094247929
Shisa8,-2.10686227469787,0.522040105
Sirt1,1.44863095543879,0.261680489
Shfm1,-0.904650379113954,0.307729746
Sipa1,-0.534017493636277,0.191058223
Sh3bgrl,-1.64606775028195,0.131087428
Shkbp1,0.500034104827221,0.172819315
Sirt3,-0.0501873793680713,0.093567621
Sh3bp1,-1.37566944457336,0.141096255
Sgcb,-1.41532540361253,0.115548253
Sgms2,-0.76959532281727,0.181239939
Sgpp1,-3.23770914634453,1.115968454
Sik3,-4.13609453177117,4.746396574
Sigmar1,-0.215690966335223,0.126100335
Skap2,0.829415199947243,0.153503947
Shc4,-1.43267699322254,0.276133832
Sirt6,-0.921612859846086,0.219684239
Shank1,1.01784550026738,0.277508045
Sh3gl3,1.40931123900867,0.244899652
Skil,1.27627451757435,0.126194568
Shf,0.630967434344911,0.205685509
Sh3kbp1,-0.43145053640058,0.087417717
Shisa9,-0.582006758010588,0.12996688
Sirt4,-0.45448920304012,0.218787055
Sh3bgrl3,-0.694697325061341,0.088584448
Sh3bgrl2,0.768431137154947,0.158936195
Shh,-0.841153639576172,0.263698902
Sin3b,-3.18268985014274,1.138193478
Shisa7,0.838490341037993,0.350808181
Sirt2,-1.3366258733006,0.098653349
Shroom2,-1.03890960381771,0.105103938
Sh2b3,1.86865550879064,0.358150157
Shroom3,-2.20419281951921,0.447794556
Sh2b1,-1.03543234673844,0.106249893
Sgsm1,1.27331894135982,0.200993767
Sh2d5,0.129174456918272,0.164904587
Sh3bp5,-0.694421446998512,0.089676433
Shisa6,1.75845049312388,0.405140973
Sipa1l3,-1.84915745959732,0.26901397
Sh3d19,-0.0238365441259112,0.139361882
Shisa2,-0.908110628491232,0.400050537
Sipa1l2,0.329937042791672,0.11714016
Siah1a,1.57254918548423,0.219289373
Shmt2,-0.493894538113538,0.158394737
Sgsm2,-2.11334394179508,0.414231437
Sgtb,1.74236623157334,0.412657715
Sidt1,-0.857625244396444,0.316206833
Sgk1,-0.600456065407139,0.134863919
Simc1,0.903920523201601,0.218170412
Sgip1,-1.20783906036877,0.104260006
Siglech,2.15838824446987,0.608445337
Sike1,0.6780168002328,0.125622876
Sirt7,-2.35532218207575,0.613407148
Sharpin,-1.12618475095374,0.155075883
Ska2,0.358795618844616,0.14626871
Shb,-0.835686287323666,0.274285817
Sh3rf1,-0.87753220407611,0.186093561
Sh3pxd2a,-0.841368903090793,0.203358576
Sh3gl2,-1.24315039672228,0.105796294
Sgta,-0.00113491491614923,0.098189137
Siah2,-1.74623198488416,0.322448843
Sgsm3,-0.259329666858735,0.151663633
Shoc2,0.898310793988754,0.121610495
Siae,-1.92387713463028,0.359596205
Shisa4,-0.548896228578524,0.08313941
Sipa1l1,-0.0105465519315391,0.08376496
Shisa5,0.511022766424514,0.125359993
Sirpa,1.24194373594483,0.118689346
Sh3bp5l,0.979458105452545,0.148856821
Sh3bp4,-0.475965823072312,0.146577198
Sh3bgr,0.713469190267477,0.152008609
Sh3gl1,-0.546737366304339,0.136319305
Sh3pxd2b,0.841639051639969,0.122177921
Six4,0.341265342755722,0.519344836
Shc1,0.0401593084606233,0.206903016
Sh3yl1,-1.19111997810835,0.2900165
Siva1,-1.00514897257774,0.163577583
Shank3,-0.274414222984398,0.120825738
Sil1,-0.391682238907814,0.150945208
Sidt2,-1.70141169599468,0.238986936
Sgf29,-0.0937569308788776,0.150175458
Sgk3,0.861550558102646,0.165013177
Sin3a,-0.0176620986750926,0.143828793
St7,-0.298283644168348,0.180201034
Ssbp3,2.84401520825762,0.407966897
St3gal6,2.63789573659152,0.604885996
Ss18l1,-2.5576819943886,0.645492435
Srp54b,0.3679720557169,0.114483594
St8sia1,-1.70975129275725,0.272474161
Ssfa2,1.50729966788158,0.114480874
Srp68,-1.84206329166715,0.203424327
Srek1,0.16599037914823,0.112482505
Srgap3,0.620135393568939,0.07560298
Sri,-1.23316353261665,0.088014883
Ssr1,0.407990789168515,0.053228108
Sspn,-0.33643261773577,0.129699245
Ssx2ip,2.74219836908807,0.645613095
Srebf1,-0.947797763323359,0.109524497
St3gal1,0.695158847525048,0.240780693
Srd5a1,0.132565896415003,0.14293601
Sqrdl,-0.495385628203291,0.150543823
Srxn1,0.534328604445511,0.11386186
Stam,-0.986843216048189,0.074965789
Srrm3,-0.469326269566033,0.155730411
Srrd,-0.658296984243576,0.14135786
Srsf11,1.57609382223173,0.096169333
St8sia4,-1.09452855270472,0.165431518
Srsf7,-2.85395808227227,0.508717597
Stag1,-0.124033824594955,0.101932623
Ssna1,0.195216404469398,0.095075938
Srm,-4.28663367383205,11.96984391
Ssr2,0.761045613678803,0.103714002
Srgn,-0.906161472335857,0.150889966
Srebf2,-0.071730122882988,0.079468315
St7l,-1.34067685407584,0.176136559
