MGI.symbol,t,B
Skiv2l,0.620411518176841,0.139402857
Shd,1.49359005895523,0.326806454
Sh3glb2,0.902418958167868,0.117026202
Sh3glb1,0.412218113781241,0.081122861
Sirt5,0.726941524340357,0.259033931
Shank2,-0.50905045720188,0.215349996
Ski,0.735790111872404,0.086851101
Shc2,-0.229389400383067,0.252776888
Sik1,1.41537250401789,0.482372751
Sgpl1,3.52193252900918,3.406014162
Sik2,-1.11395195184214,0.27339652
Sgms1,-0.910333847913343,0.133657086
Sgce,4.25288110204081,12.87622964
Sgpp2,-0.756004729534872,0.166900658
Sh2b2,2.18292499632433,0.799006648
Sh2d3c,0.47948032778238,0.23563628
Shtn1,-6.02510865813287,45292.86652
Shprh,-1.17840092926572,0.167095373
Shisa8,-0.233061386209859,0.206436869
Sirt1,-1.34654816049585,0.280955022
Shfm1,-0.234805322977048,0.259006587
Sipa1,1.84488455950962,0.471551889
Sh3bgrl,1.10977439739673,0.105642822
Shkbp1,0.00841190664277079,0.213640426
Sirt3,0.651803669918039,0.124781247
Sh3bp1,-1.28204570335516,0.161503828
Sgcb,0.0257282883090512,0.100945833
Sgms2,0.169015452448734,0.217670384
Sgpp1,-1.83667710309552,0.222590868
Sik3,2.49490155152139,0.363055934
Sigmar1,1.07612000633646,0.195031061
Skap2,0.203153001196624,0.128476948
Shc4,-0.698029678930098,0.209668508
Sirt6,0.196601891564368,0.242931224
Shank1,0.125162192331757,0.230588499
Sh3gl3,-0.722045418222117,0.188960961
Skil,0.325046822484869,0.123546269
Shf,-0.444182009402435,0.271677534
Sh3kbp1,-2.78922959202533,0.738489006
Shisa9,-0.519105483862196,0.196242225
Sirt4,0.66641901760479,0.271490399
Sh3bgrl3,1.22312060542601,0.12332673
Sh3bgrl2,-0.670050404484398,0.202819433
Shh,1.4175268338346,0.490229035
Sin3b,0.684190420506822,0.130909465
Shisa7,0.0620559514290564,0.333004441
Sirt2,0.537792312993164,0.068670139
Shroom2,-2.2382198388558,0.3800744
Sh2b3,1.61871047264572,0.411942196
Shroom3,-0.875763561546308,0.203082022
Sh2b1,3.02574429340874,1.241376347
Sgsm1,-0.849506442920832,0.242779069
Sh2d5,3.10801772570615,2.578650357
Sh3bp5,-1.96267109548052,0.272207349
Shisa6,2.83990796147858,2.573416281
Sipa1l3,0.918251072097937,0.158022696
Sh3d19,-3.27977812079137,4.161192804
Shisa2,-0.798631034857531,0.426566273
Sipa1l2,-1.48304797722235,0.264155204
Siah1a,1.68464251324376,0.322442355
Shmt2,0.554944579450508,0.231850784
Sgsm2,-0.614337834680507,0.198539198
Sgtb,0.364024537757951,0.239936313
Sidt1,1.88348857665652,0.775319525
Sgk1,2.20498133363124,0.416047535
Simc1,-2.63739679839388,1.784255356
Sgip1,-1.70507528748801,0.210778887
Siglech,2.83188981489044,1.819270044
Sike1,-2.14312744899699,0.568591543
Sirt7,-1.79406316700344,0.354782128
Sharpin,0.15574346844895,0.138966617
Ska2,3.30494077443312,3.423020284
Shb,-1.3579557320094,0.461285783
Sh3rf1,-0.588310186498734,0.211962332
Sh3pxd2a,0.827505220332876,0.22597776
Sh3gl2,-1.15748281761397,0.131910966
Sgta,1.61556070656399,0.206582173
Siah2,0.300711627073764,0.170075231
Sgsm3,0.855939362829703,0.186469796
Shoc2,-0.176774443428446,0.119516177
Siae,1.73926444545266,0.394922835
Shisa4,-0.177136097025718,0.085798919
Sipa1l1,-3.44067217545599,2.91125462
Shisa5,4.1887469052462,9.489919112
Sirpa,3.24681908880117,1.311994378
Sh3bp5l,0.316635411265134,0.156895862
Sh3bp4,-1.45780871724362,0.359933798
Sh3bgr,-0.318441291567772,0.155104175
Sh3gl1,-1.93882229130544,0.489108057
Sh3pxd2b,-0.537858392816084,0.143886108
Six4,0.333080950543814,0.615464014
Shc1,-1.77550864377759,0.551570132
Sh3yl1,-0.796588563380794,0.435095501
Siva1,0.191217391852521,0.173908477
Shank3,-2.38356123475662,0.69278343
Sil1,2.13345692829669,0.471248968
Sidt2,-0.714810887033985,0.156973965
Sgf29,0.338055286625571,0.198221399
Sgk3,-0.870174320216678,0.18884745
Sin3a,-1.87381478581437,0.484815292
St7,-1.28354949295843,0.342347715
Ssbp3,0.0681682480745997,0.076642124
St3gal6,0.485630572980539,0.141024564
Ss18l1,0.209337434327233,0.202988487
Srp54b,0.443767336115963,0.133879217
St8sia1,-2.21983352513337,0.774000561
Ssfa2,-0.70435470658669,0.091243761
Srp68,-0.375445174019449,0.114479044
Srek1,-2.97113890592513,1.596398551
Srgap3,0.433848706840768,0.087143051
Sri,-1.93546634375892,0.185213396
Ssr1,2.13115041876262,0.181991789
Sspn,-0.958582437286713,0.236009311
Ssx2ip,-0.791176686909132,0.141468913
Srebf1,2.45864929508134,0.435973034
St3gal1,4.29009735380409,68.79359146
Srd5a1,-1.24558059249741,0.285248407
Sqrdl,0.627457215238854,0.229791289
Srxn1,1.37257819680754,0.208456973
Stam,-2.28807394391408,0.351466272
Srrm3,-0.740630401226224,0.216060117
Srrd,0.99598916727598,0.218951546
Srsf11,-2.97580547077961,0.692114213
St8sia4,2.05784558198557,0.588940498
Srsf7,0.723105266899879,0.102969364
Stag1,-1.02782104039902,0.167782615
Ssna1,-0.73346298092325,0.14839886
Srm,-1.06587792057819,0.171450485
Ssr2,0.00936232790466555,0.104078506
Srgn,3.03706022227949,1.41812186
Srebf2,0.0761165802006113,0.091416486
St7l,-1.26972466440322,0.2143396
Ssh1,1.14690569044115,0.221517672
Srp72,0.342475075198083,0.086738242
Srp54a,-0.45413491724278,0.247846928
St5,0.928442887646578,0.190018661
Ss18,-0.389291390846986,0.154752865
St6galnac6,-1.36393016161796,0.20998438
Ssbp4,0.816819684310057,0.180818944
Srsf6,-0.946596587798469,0.104601075
Stag2,-0.979871414855102,0.125837572
Srsf12,0.00155923763504177,0.213694435
St8sia3,-0.177504590215691,0.165413219
Srrm1,2.28729703878917,0.322185821
Srsf9,1.08955378121269,0.134306463
Stam2,0.520995886013118,0.135309366
Srrm2,-1.78951697321135,0.171558009
Sqstm1,-0.426812398362394,0.074742063
Srcin1,-1.59547332107246,0.171941564
Srd5a3,1.29601211623463,0.276024335
St18,-0.572637934759152,0.133076738
St13,-1.92759003398202,0.140636505
Srsf2,0.59566383708742,0.093720659
St8sia6,2.30430937612663,0.879695164
Srsf5,1.53368896416428,0.128711385
Stab1,-0.0420403148641048,0.215354649
Srsf10,-0.308234915917555,0.125465141
Srrt,0.408618400178308,0.128004536
Srprb,-1.3452509757568,0.205019588
Srcap,1.30578453321711,0.276682032
St3gal5,0.148530636152571,0.107327814
Sra1,2.26878266544117,0.336495107
Sst,1.1964023875097,0.20876457
St3gal3,2.36013500737535,0.549490059
Ssr3,0.0309202834307692,0.068212979
Ssh3,0.172998026262452,0.192586313
Srf,-1.78667780226388,0.386055619
Srgap1,-0.747226659303189,0.150327839
Ssrp1,2.27060484428762,0.401151439
Srp19,-1.93848105800405,0.214079458
Srp9,0.995674655676601,0.11618532
St6galnac5,-1.18923815422997,0.495395352
Ssbp1,-0.137043796365213,0.158078215
Srpk2,-2.10581413816428,0.20580719
St6gal1,0.917057147229415,0.19093953
Ssb,-0.629954072737978,0.078338346
St3gal2,1.33828537687631,0.207595821
Ssu72,-1.69008009205946,0.162613348
Srbd1,-2.24528304815566,0.734859411
Src,3.09586529837905,1.382614559
St3gal4,1.03507335243172,0.162021216
Srr,1.22375853603956,0.183826903
Srrm4,1.8322703270634,0.62578051
Srsf4,-0.906675722135633,0.168818831
Stac2,-1.78089452532193,0.335460083
Srsf1,-1.3269947395085,0.107029472
Srsf3,1.56010883831931,0.127207442
St8sia5,-1.52876813229718,0.286817329
St6gal2,-1.55137871625151,0.64188064
Ss18l2,0.220511733781227,0.976259659
St6galnac4,0.681232035105458,0.186399734
Ssbp2,-0.263718811933299,0.144899909
Srpr,1.81561267066993,0.23931662
Srpk1,0.794263325090198,0.163321189
Srp14,-1.67229686125523,0.144543447
Srgap2,2.30950653902252,0.443693661
Sssca1,-0.617161928578009,0.158549281
Srek1ip1,-1.80196449598464,0.377117479
Ssh2,-0.00685030248711663,0.118876537
Ssr4,1.49063606484291,0.180799264
Pkdcc,0.14279921882599,0.248410002
Pigu,0.465810517414402,0.185441327
Pkia,-0.505012621002304,0.113854913
Pigs,0.584191335369502,0.150237063
Pigm,1.41650312217008,0.325428979
Pitrm1,0.606332578021086,0.134595594
Plcb4,-0.996032130411193,0.136764256
Pik3c2b,-1.18403581281307,0.182076625
Pik3c2a,-2.11140726001374,0.405662687
Pithd1,-0.365107280353265,0.108893839
Plaa,-0.857744711036509,0.147711702
Pitpnm2,-0.45453605056337,0.214727305
Plcb1,-0.361492780684351,0.130141344
Plcl1,-0.985960204349991,0.094096046
Pipox,0.339218252058624,0.535999172
Plcd4,2.83685170430942,0.964575323
Pink1,0.396031505974842,0.056093804
Pik3r3,-0.720339406324784,0.130042818
Plcxd2,-0.380838462888932,0.133111649
Pirt,0.188975723618705,0.952810908
Pim1,-0.37632156383408,0.272309014
Picalm,-2.52561431048935,0.301560331
Pigf,1.16833823095996,0.318907313
Pigh,-2.7906622860513,1.550298098
Pla2g16,-0.256915639170958,0.075226622
Pkp4,0.927288609531107,0.069464257
Pitpnm3,1.36725835373014,0.318491377
Plbd2,1.71501352116603,0.300004488
Pisd,2.59967773591701,0.561948986
Plac9a,0.817436466516424,0.284370699
Pih1d1,1.27151879568735,0.200743363
Pja1,-1.75405868462306,0.173535274
Plcb3,1.33044049896011,0.358165076
Pik3c3,-1.62583733221198,0.235753663
Pigk,-0.199052462773185,0.138373234
Pigt,1.35888028760571,0.299742155
Pigx,1.65893195531496,0.406717444
Pkib,0.479543240622049,0.218271095
Pkd2,-0.14677135833197,0.13261179
Pla2g12a,-1.47624345719609,0.256921248
Pigg,1.27366990121816,0.287882348
Pla2g15,3.50628007269059,5.538547634
Pigc,2.53160344452425,0.801566266
Pick1,-1.02033936464783,0.22910912
Plcxd3,-0.200682249647226,0.413351227
Pir,-0.365996592287914,0.201364487
Pikfyve,-1.60378331030448,0.264423278
Pik3r4,-0.253680567942131,0.157639932
Plcd1,1.70068927207458,0.382607632
Pip4k2a,-3.39954323228476,0.983337715
Plcl2,0.661677788720819,0.209448388
Pip5k1c,0.595754681196278,0.12240394
Pla2g4a,-2.14870569734952,0.524914742
Pknox1,-2.92240228460282,2.606152234
Pid1,0.922510520757883,0.163517962
Pigb,0.378224709005566,0.207845626
Pla2g7,0.883343283412862,0.070932991
Pik3r1,-2.91673431640991,0.610120153
Pim3,-1.02958378099033,0.116871932
Plch1,1.91100527507038,0.696202582
Pip5k1b,0.8779566616909,0.259403983
Pin4,-1.264242735643,0.322433715
Plcg1,0.980821928652614,0.167831826
Pip4k2b,0.00195719826403497,0.101351026
Pitpnb,2.57473678480469,0.472163299
Plac9b,1.63266322816179,0.554898194
Pitpnc1,-0.182443039542313,0.103131044
Plat,3.5585952984208,2.575710857
Pik3cd,-0.233462353997907,0.567863164
Pik3ca,0.665566554908174,0.096192653
Pigz,0.2259193492576,0.157384686
Pigp,1.1247339520758,0.128372586
Pkn1,1.2047665675397,0.305927692
Pigo,-0.490037117831467,0.273457969
Pkd1,0.759907148852321,0.153013541
Pkig,1.65162202937168,0.228128858
Plce1,0.444375059570581,0.115108228
Pip4k2c,-0.788869535016334,0.169392483
Plch2,-0.0296207691220784,0.224303679
Pip5k1a,0.16142416293938,0.148354438
Pin1,0.872581408527405,0.10834665
Pim2,-0.273393945139057,0.216282108
Pik3r2,-0.103068076713791,0.158422814
Piga,-3.106987439283,1.79631199
Pla2g6,0.0376978118246147,0.180967449
Piezo2,-0.790398725999119,0.322218391
Pknox2,2.63973866408898,2.056573882
Pla2g3,1.36255581026704,0.552603979
Pkm,0.686079851759641,0.068502225
Pja2,-3.45901073236505,1.184192545
Pign,-0.129249304360597,0.137156902
Pigq,1.33146683132786,0.145551062
Pkn2,-0.0151559349969954,0.120624091
Pigyl,-1.15775546257783,0.160544736
Pik3cb,-0.026436422298121,0.120897289
Pitpnm1,-2.35453632139914,0.536093301
Plagl2,-1.95311186957689,0.745598135
Pik3ip1,1.81937407895156,0.244565328
Pitpna,-0.489978670650188,0.068703424
Plagl1,-0.725350686619862,0.205026732
Brf1,0.23378222903716,0.18313661
Btbd9,-0.195776877866294,0.157068943
Bola3,-2.26542940809894,0.370819637
Brinp1,-1.99577535217024,0.41386311
Btd,0.912040780731923,0.236254462
Bola1,0.347125213985403,0.168286645
Bnip2,0.528762452682689,0.135730774
Bscl2,1.18801298151039,0.179557027
Bmpr2,-1.13094869468056,0.102874178
Bmper,-0.88397940285501,0.268713812
Brms1,1.21954225389123,0.250282978
Brwd1,-3.14593599648755,1.242818764
Btbd10,-0.906515408505004,0.172546964
Bsg,1.83952651142602,0.181768298
Bloc1s6,-0.539259399275859,0.163710041
Btbd17,-1.33598606313719,0.256412236
Blvra,-0.595763163904681,0.159336472
Borcs5,0.57115572266066,0.159073673
Bphl,-1.99807589492321,0.401950623
Bptf,0.99997832839187,0.101245341
Bzw1,-1.73474512083879,0.142158999
Brd2,-0.17731814778414,0.073464217
Bud31,-1.39760117433079,0.185113303
Brd1,-0.0589843216863955,0.154090396
Brsk2,-2.09457300568152,0.349648762
Brms1l,-1.58380474388378,0.229433185
Bmpr1a,-1.34477812561412,0.151533755
Brwd3,-0.166763063480466,0.20849392
Bmpr1b,2.2720562481889,0.475527311
